text,label
"Subject: Thank You For Your Application - Internships - Software Engineering\nSender: no-reply@learfield.com\nBody: Hello Name,\n\nThank you so much for your application for the Internships - Software Engineering position and for your interest in LEARFIELD. After reviewing your application for this role, we have decided to move forward with other candidates that better meet our needs at this time.\n\nWe want to thank you for your time and patience through this process. We hope that you will have a continued interest in LEARFIELD. We wish you the best of luck in your search.\n\nThank you.\n\nLEARFIELD",Rejected
"Subject: Thank you for your interest in Algolia\nSender: Flora Farquharson <flora.farquharson@algolia.com>\nBody: Hi Name,\n\nThank you for your application to the Associate Demo Engineer position at Algolia.\n\nUnfortunately this position is now filled. Feel free to keep an eye on our career page in case another opportunity matches with your profile.\n\nWe truly appreciate your interest in Algolia and we wish you luck in your search.\n\nBest,\nAlgolia Talent Acquisition Team<p>Hi Name,<br><br>Thank you for your application to the Associate Demo Engineer position at Algolia. <br><br>Unfortunately this position is now filled. Feel free to keep an eye on our career page in case another opportunity matches with your profile.&nbsp;</p>\n<p>We truly appreciate your interest in Algolia and we wish you luck in your search.</p>\n<p>Best,<br>Algolia Talent Acquisition Team",Rejected
"Thanks for your interest in the Software Engineering Intern - Amsterdam based opening at Juniper Networks, we appreciate your interest. We've reviewed your application and while we admire your experience, skills, we will not be moving forward with your application at this time.\n\nWe will keep your profile on file, because given your background, you may be a good fit for future roles as they open up. We hope you had a positive experience during the application process and wish you well in your future. Thank you again.\n\nAll the best,\n\nJuniper Networks",Rejected
"Subject: Thank you for your interest in Algolia\nSender: Flora Farquharson <flora.farquharson@algolia.com>\nBody: Hi Name,\n\nThank you for your application to the Associate Demo Engineer position at Algolia.\n\nUnfortunately this position is now filled. Feel free to keep an eye on our career page in case another opportunity matches with your profile.\n\nWe truly appreciate your interest in Algolia and we wish you luck in your search.\n\nBest,\nAlgolia Talent Acquisition Team<p>Hi Name,<br><br>Thank you for your application to the Associate Demo Engineer position at Algolia. <br><br>Unfortunately this position is now filled. Feel free to keep an eye on our career page in case another opportunity matches with your profile.&nbsp;</p>\n<p>We truly appreciate your interest in Algolia and we wish you luck in your search.</p>\n<p>Best,<br>Algolia Talent Acquisition Team",Rejected
"Subject: Thank you for for your interest in Lightning AI Sender: no-reply@us.greenhouse-mail.io Body: Hi Name,\r\n\r\nThank you for your interest in Lightning AI. We are lucky to be receiving applications from many qualified applicants, but unfortunately, we will be unable to move forward with your candidacy at this time.\r\n\r\nPlease keep our careers page bookmarked for the future, as we are constantly updating our available roles. We wish you the best of luck in your search!\r\n\r\nRegards,\r\nLightning AI",Rejected
"Update on your Dyson job application\nInbox\n\nto me\n\n\n\nDear Name,\n\nThank you for taking the time and effort to apply for our Software Engineering - App Intern role. However, after careful consideration, we’ve decided not to take your application further this time as we think there are other candidates whose experience matches what we’re looking for more closely.\n\nWhile we understand that this is disappointing news, we encourage you to keep checking our careers website for other roles that may interest you.\n\nUntil then, thank you for your interest in working at Dyson – and we’re sorry that you weren’t successful this time\n\nBest wishes,\nDyson Talent Acquisition Team",Rejected
"Hi, We would like to thank you for your interest in becoming an Interac Intern. We appreciate the time you took to submit your application. However, we have moved forward in the process of the recruitment cycle with another candidate.If you are an actively enrolled student with an expected graduation date of two semesters or beyond: we would love to invite you to apply again for our future internship opportunities",Rejected
"Hello Name , Thank you for your interest in the Software & Database Development Intern - Fall 2025 role at McKesson. After careful consideration, we regret to inform you that you have not been selected for this position. Please know we value your application and will keep your candidate file in our database. If future opportunities arise that align with your qualifications and expertise, we may reach out to you",Rejected
"Hi Name, Thank you for your interest in the Software Developer Co-op - Fall Term role at Arctic Wolf. We appreciate your interest in joining our company and we want to thank you for the time and energy you invested in your application. The position has now been filled, but we would encourage you to keep an eye on our careers site for future opportunities. Best wishes in your future endeavors, - Arctic Wolf Recruitment Team",Rejected
"Dear Name, Thank you for your interest in Ericsson and the position of Radio SW Developer Co-op. After careful consideration, we regret to inform you that we will not proceed with your application for this position. We truly appreciate your interest in Ericsson and we will keep your candidate profile in our Talent Community.  Please continue to view our current job openings on our career site to apply to other positions aligned with your experience and interest. When logged in to your profile you can also set up Job Alerts in order to receive automated emails listing current job openings. We wish you all the best in your career",Rejected
